Iteration	CPUTime	PhysTime	Travels
1	3	0	0.025
2	4	0	0.05
3	4	0	0.075
4	4	0	0.1
5	5	0	0.125
6	5	0	0.15
7	5	0	0.175
8	6	0	0.2
9	6	0	0.225
10	7	0	0.25
11	7	0	0.275
12	7	0	0.3
13	8	0	0.325
14	8	0	0.35
15	8	0	0.375
16	8	0	0.4
17	9	0	0.425
18	9	0	0.45
19	9	0	0.475
20	10	0	0.5
21	10	0	0.525
22	10	0	0.55
23	11	0	0.575
24	11	0	0.6
25	11	0	0.625
26	11	0	0.65
27	12	0	0.675
28	12	0	0.7
29	12	0	0.725
30	12	0	0.75
31	13	0	0.775
32	13	0	0.8
33	13	0	0.825
34	14	0	0.85
35	14	0	0.875
36	14	0	0.9
37	14	0	0.925
38	14	0	0.95
39	15	0	0.975
40	15	0	1
41	15	0	1.025
42	15	0	1.05
43	15	0	1.075
44	16	0	1.1
45	16	0	1.125
46	16	0	1.15
47	16	0	1.175
48	17	0	1.2
49	17	0	1.225
50	17	0	1.25
51	17	0	1.275
52	17	0	1.3
53	17	0	1.325
54	18	0	1.35
55	18	0	1.375
56	18	0	1.4
57	18	0	1.425
58	18	0	1.45
59	18	0	1.475
60	19	0	1.5
61	19	0	1.525
62	19	0	1.55
63	19	0	1.575
64	19	0	1.6
65	19	0	1.625
66	19	0	1.65
67	20	0	1.675
68	20	0	1.7
69	20	0	1.725
70	20	0	1.75
71	20	0	1.775
72	20	0	1.8
73	21	0	1.825
74	21	0	1.85
75	21	0	1.875
76	21	0	1.9
77	21	0	1.925
78	21	0	1.95
79	21	0	1.975
80	22	0	2
81	22	0	2.025
82	22	0	2.05
83	22	0	2.075
84	22	0	2.1
85	22	0	2.125
86	23	0	2.15
